Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Afghanistan,0,1,0,0,1,1,0,0,0,1,0,0,0,1
Algeria,1,0,0,1,0,0,0,1,0,1,1,0,0,0
Angola,0,1,1,1,0,0,0,0,0,1,0,0,0,0
Antarctica,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Argentina,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Australia,0,1,0,0,1,1,0,0,1,0,0,0,0,1
Austria,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bahamas,0,1,1,0,0,1,0,0,1,0,0,1,1,1
Bahrain,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bangladesh,0,1,0,0,0,0,0,1,0,0,1,0,0,1
Barbados,0,1,0,0,0,1,0,1,1,0,0,1,0,1
Belgium,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Benin,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Bermuda,0,1,0,0,0,1,0,1,1,0,0,0,1,0
Bolivia,0,1,0,0,1,1,0,1,1,0,0,0,0,0
Bosnia & Herzegovina,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Botswana,0,1,0,0,1,1,0,0,1,0,0,1,0,1
Brazil,0,1,1,1,1,0,0,0,0,1,1,0,1,0
Brunei,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Bulgaria,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,1,0,0,1,0,0,0,0,1,0,1,1,1
Burma,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Burundi,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Byelarus,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Cambodia,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Cameroon,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Canada,1,1,0,0,0,1,1,1,1,1,0,1,1,1
Central African Republic,0,1,1,0,0,1,0,0,0,1,0,0,0,0
Chad,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Chile,0,0,0,0,1,1,0,0,0,0,0,0,0,0
China,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Colombia,0,1,0,0,1,0,0,0,0,0,0,0,1,1
Congo,0,1,0,1,1,0,0,0,1,1,0,0,1,1
Cook Islands,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Costa Rica,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Croatia,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Cuba,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Cyprus,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Czechoslovakia,0,1,0,1,0,1,0,0,0,0,0,0,0,1
Denmark,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Dominican Republic,0,1,0,0,1,0,0,1,0,0,0,0,1,1
Ecuador,1,1,0,0,0,1,1,0,0,0,0,0,0,1
Egypt,0,1,0,1,0,0,1,0,0,0,0,0,0,0
El Salvador,0,1,0,0,1,0,0,0,0,0,0,0,0,0
