Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Afghanistan,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Albania,1,0,0,0,1,0,0,0,0,1,0,0,0,1
Algeria,0,1,0,1,0,0,0,0,0,1,1,0,0,0
Angola,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Antarctica,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Argentina,0,1,1,1,1,0,0,0,0,0,1,0,0,0
Australia,0,1,0,0,0,1,0,1,1,1,0,0,1,1
Austria,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Azerbaijan,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bahamas,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Bahrain,0,0,0,0,0,1,1,1,0,1,0,1,0,0
Bangladesh,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Barbados,1,1,0,0,1,0,0,1,0,0,0,1,1,1
Belgium,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Belize,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Benin,1,1,0,0,1,1,0,0,0,1,0,0,0,1
Bermuda,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Bhutan,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bolivia,0,1,1,0,1,1,0,1,1,0,0,0,0,1
Botswana,0,1,0,0,0,1,0,1,1,0,0,1,1,1
Brazil,0,1,1,0,0,1,0,1,0,1,1,0,1,0
Brunei,0,1,0,0,0,1,1,0,0,1,0,0,0,1
Bulgaria,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Burkina Faso,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Burma,0,0,1,0,1,1,0,0,0,1,0,0,0,0
Burundi,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Byelarus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cambodia,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cameroon,0,1,0,1,0,0,0,0,1,1,0,0,0,0
Canada,1,1,0,0,0,1,1,1,1,1,0,1,1,1
Cape Verde,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Central African Republic,0,1,1,0,1,0,0,0,1,1,0,0,0,0
Chad,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Chile,0,1,1,1,1,1,0,0,0,0,0,0,0,0
China,0,0,1,1,0,1,1,0,0,1,1,0,0,0
Ciskei,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Colombia,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Congo,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Cook Islands,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Costa Rica,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Croatia,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cuba,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,1,1,0,0,0,1,0,0,0,0,0,0,0,1
Czech Republic,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Czechoslovakia,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Denmark,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Dominican Republic,0,1,0,0,1,0,0,0,0,0,0,0,1,1
Ecuador,1,1,0,0,0,1,0,1,0,0,0,0,0,1
Egypt,0,1,0,1,0,0,1,0,0,0,0,0,0,0
El Salvador,1,1,0,0,1,0,0,0,0,0,0,0,0,1
Estonia,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ethiopia,0,1,0,0,1,0,0,1,0,1,0,0,0,1
Fiji,0,1,0,0,0,1,0,1,1,0,0,1,0,1
Finland,0,1,0,0,1,0,0,0,0,0,0,0,0,0
France,1,0,1,1,1,0,0,0,0,1,1,0,0,0
French-Guiana,0,1,0,0,1,0,0,0,0,0,0,0,0,0
French-Polynesia,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Gabon,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Gambia,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Germany,0,0,0,1,1,0,1,0,0,1,1,0,0,0
Greece,0,0,0,1,0,1,1,0,0,1,1,0,0,0
Guadeloupe,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Guatemala,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Guinea,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Guyana,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Haiti,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Hong-Kong,0,0,0,0,1,0,1,1,0,1,0,1,1,1
Hungary,0,1,1,1,0,0,0,0,0,1,0,0,0,0
Iceland,0,1,1,0,1,1,0,1,0,1,0,0,1,1
India,0,1,1,1,0,1,1,0,0,1,1,0,0,0
Indonesia,1,1,0,0,0,1,1,1,0,0,0,0,0,1
Iran,0,1,0,1,0,1,1,0,0,1,0,0,0,1
Iraq,0,1,0,1,0,1,1,0,0,0,0,0,0,0
