Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Afghanistan,0,0,0,0,1,0,0,1,0,0,0,1,0,1
Albania,0,1,0,0,1,1,0,1,0,1,0,1,0,1
Algeria,0,1,0,1,0,0,1,0,0,1,1,0,0,0
Andorra,0,1,0,0,0,1,0,0,1,0,0,1,1,1
Angola,0,1,0,0,1,1,0,1,0,0,0,0,0,1
Antarctica,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Antigua & Barbuda,0,0,0,0,1,0,0,1,0,0,0,1,0,1
Argentina,0,1,1,0,0,1,0,0,1,0,0,0,0,1
Armenia,0,0,0,1,0,1,0,0,0,1,1,0,0,0
Australia,1,1,0,0,1,1,0,1,1,0,0,1,1,1
Austria,1,0,1,0,1,1,0,0,1,1,0,0,1,1
Azerbaijan,0,0,0,1,0,0,1,0,1,1,1,0,0,0
Bahamas,1,1,0,0,0,1,0,1,1,1,0,0,0,0
Bahrain,0,0,0,0,1,0,1,1,0,0,1,0,0,1
Bangladesh,0,1,0,0,0,1,0,1,0,0,1,0,0,1
Barbados,0,0,0,0,0,1,0,1,1,0,0,1,0,1
Belgium,1,1,0,0,1,0,0,0,1,0,0,1,1,1
Belize,0,1,0,0,0,1,0,1,0,0,0,1,0,1
Benin,0,1,1,0,0,1,0,1,0,0,1,0,0,0
Bermuda,0,1,1,0,0,1,0,0,0,0,0,1,0,0
Bhutan,1,1,0,0,1,1,0,1,0,0,0,0,0,1
Bolivia,0,1,1,0,0,1,0,1,0,0,0,0,0,1
Bosnia & Herzegovina,1,1,0,0,1,0,1,0,1,1,0,1,0,1
Botswana,0,1,0,0,0,1,0,1,1,1,0,1,0,1
Brazil,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Brunei,0,1,0,0,0,1,1,1,1,1,0,1,0,1
Bulgaria,0,1,0,1,0,0,0,0,0,1,1,0,0,0
Burkina Faso,0,1,1,0,1,1,0,1,0,1,0,0,0,1
Burma,0,1,1,0,1,1,0,1,0,0,0,0,0,1
Burundi,0,1,0,0,0,1,0,1,1,0,0,0,1,1
Byelarus,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Cambodia,0,1,1,0,1,0,0,1,0,0,0,0,0,1
Cameroon,0,1,0,0,1,1,0,0,0,1,1,0,0,1
Canada,1,1,1,0,1,1,0,1,1,0,0,1,1,1
Cape Verde,0,1,1,0,0,1,0,1,0,1,0,0,0,1
Central African Republic,0,1,1,0,1,0,0,1,0,1,0,0,0,0
Chad,0,1,0,0,1,1,0,1,1,0,0,0,0,1
Chile,1,1,0,0,0,1,0,0,1,1,0,1,1,1
China,0,0,0,1,0,1,1,0,0,1,1,0,0,0
Colombia,0,1,0,0,0,0,1,1,1,1,0,0,0,1
Comoros,0,1,1,0,0,0,0,0,1,1,0,0,0,1
Congo,0,1,1,0,1,1,0,1,0,0,0,0,0,1
Cook Islands,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Costa Rica,0,1,0,0,0,1,0,0,0,0,0,1,1,1
Crimea,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Croatia,1,1,0,0,1,1,0,0,1,1,0,1,0,1
Cuba,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Cyprus,1,0,0,0,0,1,1,1,1,1,0,1,1,1
Czech Republic,1,1,1,1,0,1,0,0,1,1,0,0,0,1
Denmark,1,1,1,0,1,0,0,1,0,0,0,1,0,1
Djibouti,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Dominican Republic,1,1,0,0,1,1,0,1,0,1,0,0,1,1
Ecuador,1,1,0,0,0,1,0,1,0,0,0,0,0,1
Egypt,0,1,0,1,1,1,1,0,0,0,0,0,0,0
El Salvador,0,1,0,0,1,1,0,1,0,0,0,0,1,1
Equatorial Guinea,0,1,1,0,1,1,0,1,0,0,0,1,0,0
Eritrea,1,1,0,0,1,1,0,0,1,0,0,1,0,0
Estonia,1,1,1,0,0,1,0,0,1,0,0,1,1,1
Ethiopia,0,1,1,0,1,1,0,1,0,0,0,0,0,1
Fiji,0,1,0,0,0,1,1,1,1,0,0,1,0,1
Finland,1,1,0,0,0,1,0,1,1,0,0,1,1,1
France,1,0,1,0,1,1,0,0,1,1,1,0,0,0
French-Guiana,0,1,1,0,1,0,0,1,0,0,0,0,0,0
French-Polynesia,0,1,1,0,0,1,0,0,0,1,0,0,0,1
Gabon,0,1,1,0,1,1,0,0,1,0,0,0,0,0
Gambia,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Georgia,0,1,0,0,0,1,0,0,0,1,1,0,0,0
Germany,1,0,1,1,1,1,0,0,1,1,1,0,1,1
Greece,0,0,0,0,1,1,1,0,0,1,0,1,0,1
Grenada,1,0,1,0,1,0,0,1,0,0,0,0,0,0
Guadeloupe,1,1,1,0,1,1,0,0,1,1,0,0,0,0
Guatemala,0,1,1,0,1,0,0,1,0,0,0,1,0,1
Guinea,0,1,1,0,1,0,0,1,0,0,0,0,0,1
