Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Afghanistan,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Albania,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Algeria,0,1,0,1,0,0,0,0,1,1,1,0,0,1
Angola,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Antarctica,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Argentina,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Australia,0,1,0,0,0,1,0,1,1,1,0,0,1,1
Austria,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Bahamas,0,1,0,0,0,0,0,0,1,0,0,1,1,0
Bahrain,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Bangladesh,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Barbados,0,1,0,0,0,1,0,0,1,0,0,1,0,1
Belgium,0,0,1,1,1,0,0,0,0,1,0,0,0,1
Belize,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Benin,0,1,0,0,0,1,0,0,1,0,1,1,0,1
Bermuda,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Bhutan,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bolivia,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Botswana,1,1,0,0,1,1,0,0,0,0,0,0,0,1
Brazil,0,1,1,0,0,0,0,0,0,1,1,0,1,0
Brunei,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Burkina Faso,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Burma,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Burundi,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Cameroon,0,1,0,0,1,0,0,1,1,0,0,0,0,1
Canada,0,1,0,0,0,1,1,1,1,1,0,1,1,1
Central African Republic,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Chad,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Chile,0,1,1,0,1,1,0,0,0,0,0,0,0,0
China,0,1,1,0,0,1,0,0,1,1,1,0,0,0
Colombia,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Congo,1,1,0,0,1,0,0,0,1,0,0,0,1,1
Cook Islands,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Costa Rica,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Croatia,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cuba,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,1,1,0,0,0,1,0,0,0,0,0,1,0,1
Czech Republic,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Czechoslovakia,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Denmark,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Djibouti,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Dominican Republic,1,1,0,0,1,0,0,0,0,0,0,0,1,1
Ecuador,1,1,0,0,0,1,0,1,0,0,0,0,0,1
Egypt,0,1,0,1,0,0,1,0,0,0,0,0,0,0
El Salvador,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Ethiopia,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Fiji,0,1,0,0,0,1,0,1,1,0,0,1,1,1
Finland,0,0,1,0,1,0,0,0,0,0,0,0,0,0
France,0,0,1,1,1,0,0,0,0,1,1,0,0,0
French-Guiana,0,1,0,0,1,0,0,0,0,0,0,0,0,0
French-Polynesia,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Gabon,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Gambia,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Germany,0,0,0,1,1,0,1,0,0,1,1,0,0,0
Gilbert & Ellice Islands,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,1,1,0,0,1,1,0,0,0
Guadeloupe,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Guatemala,0,1,1,0,0,1,0,1,0,0,0,0,1,1
Guinea,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Guyana,0,1,0,0,0,1,0,0,1,0,0,1,0,1
Haiti,0,0,0,0,1,1,0,1,0,0,0,1,0,1
Hong-Kong,0,0,0,0,1,0,1,0,0,1,0,0,1,1
Hungary,0,1,1,1,0,0,0,0,0,1,0,0,0,0
