Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Afghanistan,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Albania,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Algeria,0,1,0,1,0,0,1,0,0,1,1,0,0,0
Andorra,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Antarctica,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Antigua & Barbuda,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,1,1,1,0,1,0,0,0,0,1,0,0,0
Armenia,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Australia,0,1,0,0,1,1,0,1,1,0,0,0,1,1
Austria,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Azerbaijan,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Bahamas,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Bahrain,0,0,0,0,0,1,1,1,0,1,1,1,0,0
Bangladesh,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Barbados,0,1,0,0,1,0,0,0,1,0,0,1,1,1
Belgium,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Belize,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Benin,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Bermuda,0,1,0,0,0,1,0,1,1,0,0,1,0,0
Bhutan,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Bolivia,0,1,0,0,1,1,0,1,1,0,0,0,0,1
Bosnia & Herzegovina,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Botswana,0,1,0,0,0,1,0,0,0,1,0,1,0,1
Brazil,0,1,1,0,0,1,0,1,0,1,1,0,0,0
Brunei,0,1,0,1,0,0,1,0,1,1,0,0,0,1
Bulgaria,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Burkina Faso,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Burma,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Burundi,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Byelarus,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Cambodia,0,0,1,0,0,0,1,0,0,0,0,1,0,1
Cameroon,0,1,0,0,1,1,0,1,1,1,0,0,0,1
Canada,1,1,0,0,0,1,1,1,1,1,0,1,1,1
Cape Verde,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Central African Republic,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Chad,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Chile,0,1,1,1,1,1,0,0,1,1,0,0,0,0
China,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Ciskei,0,1,0,0,0,1,0,0,1,1,0,0,0,0
Colombia,1,1,0,0,0,0,0,1,0,0,0,0,1,1
Comoros,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Congo,1,1,0,0,1,1,0,1,0,0,0,0,0,1
Cook Islands,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Costa Rica,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Croatia,1,0,0,1,0,1,1,0,0,0,0,0,0,1
Cuba,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Cyprus,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Czech Republic,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Czechoslovakia,0,1,0,1,0,0,0,0,0,1,0,0,0,1
Denmark,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Djibouti,0,0,1,1,1,1,0,0,0,0,0,0,0,0
