Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Afghanistan,1,1,0,0,1,0,0,1,0,0,0,1,1,1
Albania,1,1,0,0,0,1,0,1,0,1,0,0,0,1
Algeria,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Andorra,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Angola,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Antarctica,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Argentina,0,1,1,1,0,1,0,0,0,0,1,0,0,0
Armenia,0,0,0,1,0,1,0,0,0,1,1,0,0,0
Australia,1,1,0,0,1,1,0,1,1,0,0,1,1,1
Austria,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Azerbaijan,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Bahamas,0,1,0,0,1,0,0,0,1,1,0,0,1,1
Bahrain,0,0,0,0,1,0,1,0,0,1,1,1,0,1
Bangladesh,1,1,0,1,0,1,1,1,0,0,0,0,0,1
Barbados,0,1,0,0,1,0,0,1,1,0,1,1,0,1
Belgium,0,1,0,0,1,0,0,0,1,1,0,0,1,1
Belize,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Benin,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Bermuda,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Bhutan,0,1,0,0,0,1,0,0,0,0,0,1,0,1
Bolivia,0,1,0,0,0,1,0,1,0,0,0,0,0,1
Bosnia & Herzegovina,1,0,0,0,1,0,0,0,0,1,0,0,0,1
Botswana,0,1,0,1,0,1,0,1,1,1,0,1,0,1
Brazil,0,1,0,1,1,0,0,1,0,0,1,0,0,0
Brunei,0,1,0,0,0,1,0,0,1,1,0,1,0,1
Bulgaria,0,1,0,1,0,1,1,0,0,1,1,0,0,0
Burkina Faso,0,1,1,0,1,0,0,1,1,0,0,0,0,0
Burma,0,1,0,0,1,1,0,1,0,0,0,0,0,1
Burundi,0,1,0,0,1,1,0,1,1,1,1,0,0,0
Byelarus,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Cambodia,1,1,1,0,1,0,0,1,0,0,0,0,0,1
Cameroon,0,1,0,0,0,1,0,0,0,1,1,0,0,1
Canada,1,1,1,0,1,1,0,1,1,0,0,1,1,1
Cape Verde,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Central African Republic,0,1,1,0,1,0,0,0,0,1,0,0,1,0
Chad,0,1,1,0,1,1,0,1,0,1,0,0,0,0
Chile,1,1,0,0,0,1,0,0,1,1,0,0,0,0
China,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Colombia,0,1,0,0,0,0,0,1,0,0,1,0,1,1
Comoros,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Congo,0,1,0,0,1,1,0,1,1,0,0,0,1,0
Cook Islands,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Costa Rica,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Croatia,1,1,0,1,0,0,0,0,0,1,0,0,0,1
Cuba,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Cyprus,1,0,0,0,0,0,1,0,1,1,0,1,1,1
Czech Republic,1,1,0,1,0,0,0,0,0,1,1,0,0,0
Denmark,0,1,1,0,1,1,0,1,0,0,0,0,0,1
Djibouti,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Dominican Republic,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Ecuador,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Egypt,0,0,0,1,0,0,1,0,0,1,1,0,0,0
El Salvador,0,1,0,0,1,1,0,1,0,0,0,0,1,1
Equatorial Guinea,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Eritrea,0,1,0,0,0,1,0,1,1,0,0,1,0,1
Estonia,0,1,0,0,0,1,0,0,0,0,1,0,1,1
Ethiopia,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Fiji,0,1,0,1,0,1,1,0,1,0,0,1,0,1
Finland,0,1,1,0,1,1,0,1,0,0,0,1,1,0
France,0,0,1,0,1,1,0,0,1,1,1,0,0,0
French-Guiana,0,1,1,0,1,1,0,1,1,0,0,0,0,0
French-Polynesia,0,1,0,0,0,1,0,0,1,1,0,0,0,0
Gabon,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Gambia,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Georgia,0,0,0,1,0,1,0,0,0,1,1,0,0,0
Germany,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Greece,0,1,0,0,1,1,1,0,0,1,0,0,0,0
Grenada,0,0,1,0,1,0,0,1,1,0,0,0,0,1
Guadeloupe,1,1,1,0,0,0,0,0,0,1,0,0,0,0
