Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Afghanistan,0,1,0,0,1,0,0,1,1,0,0,1,0,1
Albania,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Algeria,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Andorra,0,1,0,0,1,1,0,1,0,0,0,0,0,1
Angola,0,1,1,0,1,1,0,1,1,0,0,0,0,0
Antarctica,0,0,0,1,0,1,1,1,0,0,0,0,0,0
Antigua & Barbuda,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Argentina,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Armenia,0,0,0,1,0,1,0,0,0,1,1,0,0,0
Australia,1,1,0,0,1,1,0,1,1,0,0,1,1,1
Austria,1,0,1,0,1,1,0,0,0,1,0,0,0,1
Azerbaijan,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Bahamas,0,1,0,0,1,0,0,1,1,0,0,1,1,1
Bahrain,1,0,0,0,1,0,1,1,0,1,1,0,0,0
Bangladesh,0,1,0,0,0,1,1,1,0,0,0,0,0,1
Barbados,0,0,0,0,0,1,0,1,1,0,1,1,1,1
Belgium,1,1,0,0,1,0,0,0,1,0,0,1,1,1
Belize,0,1,0,0,0,1,0,1,0,0,0,0,0,1
Benin,0,1,1,0,0,0,0,1,0,1,0,0,0,0
Bermuda,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Bhutan,0,1,0,0,1,1,0,1,0,0,0,1,0,1
Bolivia,0,1,0,0,0,1,0,1,1,0,0,0,0,1
Bosnia & Herzegovina,1,0,0,0,1,0,1,0,0,0,0,0,0,1
Botswana,0,1,0,0,0,1,0,1,1,1,0,1,0,1
Brazil,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Brunei,0,1,0,0,1,0,0,0,1,1,0,1,0,1
Bulgaria,0,1,0,1,0,0,1,0,0,1,1,0,0,0
Burkina Faso,0,1,1,0,1,1,0,1,0,1,0,0,0,0
Burma,0,1,0,0,1,1,0,1,1,1,0,0,0,0
Burundi,0,1,0,1,0,1,0,1,0,0,0,1,1,1
Byelarus,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Cambodia,0,1,1,0,1,1,0,1,0,0,0,1,0,1
Cameroon,0,1,1,0,0,1,0,0,0,1,1,0,0,0
Canada,1,1,1,0,1,1,0,1,1,0,0,1,1,1
Cape Verde,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Central African Republic,0,1,1,0,1,1,0,0,1,0,0,0,1,0
Chad,0,0,1,0,1,1,0,1,1,0,0,0,0,1
Chile,1,1,0,0,0,1,0,0,1,1,0,0,0,1
China,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Colombia,0,1,0,0,0,0,1,1,1,0,0,0,1,1
Comoros,0,1,1,0,1,1,0,1,0,0,0,0,0,0
Congo,0,1,0,0,1,1,0,1,1,0,0,0,0,0
Cook Islands,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Costa Rica,1,1,0,0,0,1,0,1,0,0,0,0,0,1
Croatia,1,1,0,0,0,0,1,0,1,1,0,0,0,1
